id,tier,old_buy,new_buy,new_sell
kaleidoscope_cookery:seafood_miso_soup,L1,58.4,30.0,18.75
kaleidoscope_cookery:pufferfish_soup,L1,58.4,30.0,18.75
kaleidoscope_cookery:pork_bone_soup,L1,59.1,30.0,18.75
kaleidoscope_cookery:lamb_and_radish_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:fearsome_thick_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:chicken_and_mushroom_stew,L1,62.0,30.0,18.75
kaleidoscope_cookery:borscht,L1,62.0,30.0,18.75
kaleidoscope_cookery:beef_meatball_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:wild_mushroom_rabbit_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl,L2,67.24,40.0,25.0
kaleidoscope_cookery:stir_fried_pork_with_peppers_rice_bowl,L2,68.84,40.0,25.0
kaleidoscope_cookery:scramble_egg_with_tomatoes_rice_bowl,L2,68.84,40.0,25.0
kaleidoscope_cookery:fish_flavored_shredded_pork_rice_bowl,L2,68.84,40.0,25.0
kaleidoscope_cookery:braised_beef_rice_bowl,L2,68.84,40.0,25.0
kaleidoscope_cookery:sweet_and_sour_pork,L1,40.5,30.0,18.75
kaleidoscope_cookery:stir_fried_pork_with_peppers,L1,41.7,30.0,18.75
kaleidoscope_cookery:scramble_egg_with_tomatoes,L1,41.7,30.0,18.75
kaleidoscope_cookery:fish_flavored_shredded_pork,L1,41.7,30.0,18.75
kaleidoscope_cookery:braised_beef,L1,41.7,30.0,18.75
kaleidoscope_cookery:fried_egg,L1,25.2,18.0,11.25
kaleidoscope_cookery:cooked_rice,L1,38.84,18.0,11.25
kaleidoscope_cookery:dumpling,L1,40.36,18.0,11.25
kaleidoscope_cookery:meat_pie,L1,25.2,18.0,11.25
kaleidoscope_cookery:baozi,L1,40.0,18.0,11.25
kaleidoscope_cookery:mantou,L1,40.0,18.0,11.25
kaleidoscope_cookery:cooked_meatball,L1,23.7,18.0,11.25
kaleidoscope_cookery:cooked_pork_belly,L1,20.7,18.0,11.25
kaleidoscope_cookery:cooked_cut_small_meats,L1,20.51,18.0,11.25
kaleidoscope_cookery:cooked_cow_offal,L1,20.7,18.0,11.25
kaleidoscope_cookery:cooked_lamb_chops,L1,20.7,18.0,11.25
kaleidoscope_cookery:raw_cut_small_meats,L0,81.18,6.0,3.75
kaleidoscope_cookery:raw_pork_belly,L0,81.8,6.0,3.75
kaleidoscope_cookery:raw_cow_offal,L0,81.8,6.0,3.75
kaleidoscope_cookery:apple_platter,L2,79.2,40.0,25.0
kaleidoscope_cookery:bamboo_tube_rice,L1,40.0,18.0,11.25
kaleidoscope_cookery:baozi_plate,L2,97.2,40.0,25.0
kaleidoscope_cookery:berry_platter,L2,82.2,40.0,25.0
kaleidoscope_cookery:chorus_fruit_platter,L2,97.2,40.0,25.0
kaleidoscope_cookery:donkey_burger,L2,29.51,40.0,25.0
kaleidoscope_cookery:egg_fried_rice,L2,47.13,40.0,25.0
kaleidoscope_cookery:empty_cup,L0,10.0,10.0,6.25
kaleidoscope_cookery:hot_dry_noodles,L2,62.4,40.0,25.0
kaleidoscope_cookery:laba_congee,L2,72.0,40.0,25.0
kaleidoscope_cookery:qingtuan,L1,40.0,18.0,11.25
kaleidoscope_cookery:qingtuan_plate,L2,91.2,40.0,25.0
kaleidoscope_cookery:raw_noodles,L0,86.8,8.0,5.0
kaleidoscope_cookery:shengjian_mantou_plate,L2,97.2,40.0,25.0
kaleidoscope_cookery:sticky_candy,L1,25.2,18.0,11.25
kaleidoscope_cookery:sticky_candy_plate,L2,91.2,40.0,25.0
kaleidoscope_cookery:sticky_rice_cake,L1,24.33,18.0,11.25
kaleidoscope_cookery:sticky_rice_cake_plate,L2,92.87,40.0,25.0
kaleidoscope_cookery:tomato_platter,L2,82.2,40.0,25.0
kaleidoscope_cookery:watermelon_platter,L2,71.7,40.0,25.0
kaleidoscope_cookery:zongzi,L1,39.36,18.0,11.25
kaleidoscope_cookery:zongzi_plate,L2,89.27,40.0,25.0
kaleidoscope_tavern:allium_garden,L2,672.0,160.0,100.0
kaleidoscope_tavern:bloody_mary,L2,672.0,160.0,100.0
kaleidoscope_tavern:brass_heart,L2,672.0,160.0,100.0
kaleidoscope_tavern:depth_charge,L2,672.0,160.0,100.0
kaleidoscope_tavern:emerald,L2,632.0,150.0,93.75
kaleidoscope_tavern:glow_berries_bucket,L1,37.2,24.0,15.0
kaleidoscope_tavern:glow_berries_juice,L1,23.7,18.0,11.25
kaleidoscope_tavern:godfather,L2,672.0,160.0,100.0
kaleidoscope_tavern:gold_grape_bucket,L1,37.2,24.0,15.0
kaleidoscope_tavern:gold_grape_juice,L1,23.7,18.0,11.25
kaleidoscope_tavern:grape_bucket,L1,37.2,24.0,15.0
kaleidoscope_tavern:grape_juice,L1,23.7,18.0,11.25
kaleidoscope_tavern:grasshopper,L2,672.0,160.0,100.0
kaleidoscope_tavern:green_grape_bucket,L1,37.2,24.0,15.0
kaleidoscope_tavern:green_grape_juice,L1,23.7,18.0,11.25
kaleidoscope_tavern:ice_grape_bucket,L1,37.2,24.0,15.0
kaleidoscope_tavern:ice_grape_juice,L1,23.7,18.0,11.25
kaleidoscope_tavern:mojito,L2,672.0,160.0,100.0
kaleidoscope_tavern:nether_special,L3,1556.0,300.0,187.5
kaleidoscope_tavern:screwdriver,L2,672.0,160.0,100.0
kaleidoscope_tavern:sculk_special,L3,1556.0,300.0,187.5
kaleidoscope_tavern:sweet_berries_bucket,L1,31.2,24.0,15.0
kaleidoscope_tavern:sweet_berries_juice,L1,22.2,18.0,11.25
kaleidoscope_tavern:watermelon_juice,L1,73.2,18.0,11.25
kaleidoscope_tavern:white_lady,L2,672.0,160.0,100.0
