name,durability,buy,count,tag,action
bolt_armor_trim_smithing_template,0,1200.0,1,材料,add
netherite_upgrade_smithing_template,0,2000.0,1,材料,add
angler_pottery_sherd,0,100.0,16,材料,add
archer_pottery_sherd,0,100.0,16,材料,add
arms_up_pottery_sherd,0,100.0,16,材料,add
blade_pottery_sherd,0,100.0,16,材料,add
brewer_pottery_sherd,0,100.0,16,材料,add
burn_pottery_sherd,0,100.0,16,材料,add
danger_pottery_sherd,0,100.0,16,材料,add
explorer_pottery_sherd,0,100.0,16,材料,add
friend_pottery_sherd,0,100.0,16,材料,add
heart_pottery_sherd,0,100.0,16,材料,add
heartbreak_pottery_sherd,0,100.0,16,材料,add
howl_pottery_sherd,0,100.0,16,材料,add
miner_pottery_sherd,0,100.0,16,材料,add
mourner_pottery_sherd,0,100.0,16,材料,add
plenty_pottery_sherd,0,100.0,16,材料,add
prize_pottery_sherd,0,100.0,16,材料,add
sheaf_pottery_sherd,0,100.0,16,材料,add
shelter_pottery_sherd,0,100.0,16,材料,add
skull_pottery_sherd,0,100.0,16,材料,add
snort_pottery_sherd,0,100.0,16,材料,add
bat_spawn_egg,0,200.0,1,刷怪蛋,add
cod_spawn_egg,0,200.0,1,刷怪蛋,add
salmon_spawn_egg,0,200.0,1,刷怪蛋,add
tropical_fish_spawn_egg,0,200.0,1,刷怪蛋,add
pufferfish_spawn_egg,0,250.0,1,刷怪蛋,add
squid_spawn_egg,0,200.0,1,刷怪蛋,add
glow_squid_spawn_egg,0,300.0,1,刷怪蛋,add
trader_llama_spawn_egg,0,400.0,1,刷怪蛋,add
zombie_villager_spawn_egg,0,600.0,1,刷怪蛋,add
zombie_horse_spawn_egg,0,800.0,1,刷怪蛋,add
skeleton_horse_spawn_egg,0,800.0,1,刷怪蛋,add
potion,5,35.0,1,药水,add
splash_potion,5,45.5,1,药水,add
potion,6,40.0,1,药水,add
splash_potion,6,52.0,1,药水,add
potion,7,35.0,1,药水,add
splash_potion,7,45.5,1,药水,add
potion,8,40.0,1,药水,add
splash_potion,8,52.0,1,药水,add
potion,9,35.0,1,药水,add
splash_potion,9,45.5,1,药水,add
potion,10,40.0,1,药水,add
splash_potion,10,52.0,1,药水,add
potion,11,45.0,1,药水,add
splash_potion,11,58.5,1,药水,add
lingering_potion,11,72.0,1,药水,add
potion,12,50.0,1,药水,add
splash_potion,12,65.0,1,药水,add
lingering_potion,12,80.0,1,药水,add
potion,13,40.0,1,药水,add
splash_potion,13,52.0,1,药水,add
potion,15,45.0,1,药水,add
splash_potion,15,58.5,1,药水,add
potion,16,50.0,1,药水,add
splash_potion,16,65.0,1,药水,add
potion,17,45.0,1,药水,add
splash_potion,17,58.5,1,药水,add
lingering_potion,17,72.0,1,药水,add
potion,18,50.0,1,药水,add
splash_potion,18,65.0,1,药水,add
lingering_potion,18,80.0,1,药水,add
potion,19,45.0,1,药水,add
splash_potion,19,58.5,1,药水,add
lingering_potion,22,80.0,1,药水,add
potion,23,45.0,1,药水,add
splash_potion,23,58.5,1,药水,add
potion,24,50.0,1,药水,add
splash_potion,24,65.0,1,药水,add
potion,26,50.0,1,药水,add
splash_potion,26,65.0,1,药水,add
lingering_potion,29,80.0,1,药水,add
potion,32,45.0,1,药水,add
splash_potion,32,58.5,1,药水,add
potion,33,60.0,1,药水,add
splash_potion,33,78.0,1,药水,add
lingering_potion,33,96.0,1,药水,add
potion,34,70.0,1,药水,add
splash_potion,34,91.0,1,药水,add
potion,35,65.0,1,药水,add
splash_potion,35,84.5,1,药水,add
potion,36,80.0,1,药水,add
splash_potion,36,104.0,1,药水,add
potion,37,90.0,1,药水,add
splash_potion,37,117.0,1,药水,add
potion,38,90.0,1,药水,add
splash_potion,38,117.0,1,药水,add
potion,39,90.0,1,药水,add
splash_potion,39,117.0,1,药水,add
potion,40,100.0,1,药水,add
splash_potion,40,130.0,1,药水,add
