item,buy,count,tag
dropper,40.0,16,材料
emerald_block,1188.0,1,材料
emerald_ore,140.0,64,材料
empty_map,20.0,16,其他
enchanted_book,300.0,1,其他
enchanted_golden_apple,8000.0,1,食物
enchanting_table,900.0,1,其他
end_crystal,500.0,1,其他
end_stone,3.0,64,材料
ender_chest,800.0,1,其他
ender_eye,80.0,16,其他
experience_bottle,50.0,16,其他
fermented_spider_eye,12.0,64,材料
fire_charge,10.0,64,材料
firework_rocket,8.0,64,其他
fishing_rod,20.0,1,其他
fletching_table,20.0,1,其他
flint_and_steel,40.0,1,其他
flower_pot,3.0,16,其他
furnace,20.0,1,其他
furnace_minecart,60.0,1,其他
glass_bottle,2.0,16,材料
glass_pane,1.0,64,材料
glistering_melon_slice,80.0,64,食物
glow_item_frame,12.0,16,其他
glow_lichen,2.0,64,材料
glowstone,12.0,64,材料
goat_horn,120.0,1,其他
gold_block,712.8,1,材料
gold_nugget,8.0,64,材料
gold_ore,60.0,64,材料
golden_apple,600.0,1,食物
golden_boots,220.0,1,其他
golden_carrot,90.0,64,食物
golden_chestplate,450.0,1,其他
golden_helmet,250.0,1,其他
golden_leggings,400.0,1,其他
golden_pickaxe,150.0,1,其他
golden_sword,120.0,1,其他
granite,0.2,64,材料
gray_concrete,5.0,64,材料
gray_shulker_box,1400.0,1,其他
gray_stained_glass,3.0,64,材料
gray_terracotta,1.2,64,材料
green_concrete,5.0,64,材料
green_shulker_box,1400.0,1,其他
green_stained_glass,3.0,64,材料
green_terracotta,1.2,64,材料
grindstone,30.0,1,其他
hanging_roots,2.0,64,材料
heavy_weighted_pressure_plate,80.0,16,材料
honey_block,40.0,16,材料
honey_bottle,12.0,16,食物
hopper,180.0,1,其他
hopper_minecart,220.0,1,其他
iron_axe,120.0,1,其他
iron_block,356.4,1,材料
iron_boots,160.0,1,其他
iron_chestplate,320.0,1,其他
iron_helmet,180.0,1,其他
iron_hoe,80.0,1,其他
iron_leggings,280.0,1,其他
iron_nugget,4.0,64,材料
iron_ore,30.0,64,材料
iron_pickaxe,120.0,1,其他
iron_shovel,50.0,1,其他
iron_sword,90.0,1,其他
item_frame,6.0,16,其他
jukebox,220.0,1,其他
jungle_boat,8.0,1,其他
jungle_chest_boat,15.0,1,其他
jungle_door,1.5,16,材料
jungle_fence,0.72,64,材料
jungle_planks,0.6,64,材料
jungle_sign,1.4,16,材料
jungle_slab,0.36,64,材料
jungle_stairs,0.9,64,材料
jungle_trapdoor,1.2,16,材料
ladder,2.0,64,材料
lantern,40.0,16,其他
lapis_block,277.2,16,材料
lapis_ore,32.0,64,材料
lead,30.0,16,其他
leather_boots,25.0,1,其他
leather_chestplate,50.0,1,其他
leather_helmet,30.0,1,其他
leather_leggings,40.0,1,其他
lectern,40.0,1,其他
lever,3.0,16,材料
light_blue_concrete,5.0,64,材料
light_blue_shulker_box,1400.0,1,其他
light_blue_stained_glass,3.0,64,材料
light_blue_terracotta,1.2,64,材料
light_gray_concrete,5.0,64,材料
light_gray_shulker_box,1400.0,1,其他
light_gray_stained_glass,3.0,64,材料
light_gray_terracotta,1.2,64,材料
light_weighted_pressure_plate,80.0,16,材料
lightning_rod,40.0,16,材料
lily_pad,3.0,64,材料
lime_concrete,5.0,64,材料
lime_shulker_box,1400.0,1,其他
lime_stained_glass,3.0,64,材料
lime_terracotta,1.2,64,材料
lodestone,500.0,1,其他
loom,20.0,1,其他
mace,8000.0,1,其他
magenta_concrete,5.0,64,材料
magenta_shulker_box,1400.0,1,其他
magenta_stained_glass,3.0,64,材料
magenta_terracotta,1.2,64,材料
mangrove_boat,8.0,1,其他
mangrove_chest_boat,15.0,1,其他
mangrove_door,1.5,16,材料
mangrove_fence,0.72,64,材料
mangrove_planks,0.6,64,材料
mangrove_sign,1.4,16,材料
mangrove_slab,0.36,64,材料
mangrove_stairs,0.9,64,材料
mangrove_trapdoor,1.2,16,材料
minecart,40.0,1,其他
moss_block,2.0,64,材料
moss_carpet,1.0,64,材料
mud,0.3,64,材料
mushroom_stew,10.0,64,食物
name_tag,150.0,1,其他
nether_gold_ore,40.0,64,材料
nether_quartz_ore,12.0,64,材料
nether_wart,15.0,64,材料
netherite_axe,5200.0,1,其他
netherite_block,44550.0,1,材料
netherite_boots,5500.0,1,其他
netherite_chestplate,9000.0,1,其他
netherite_helmet,6000.0,1,其他
netherite_hoe,5000.0,1,其他
netherite_leggings,8000.0,1,其他
netherite_pickaxe,5200.0,1,其他
netherite_shovel,4800.0,1,其他
netherite_sword,5000.0,1,其他
netherrack,0.5,64,材料
note_block,15.0,16,材料
oak_boat,8.0,1,其他
oak_button,1.0,16,材料
oak_chest_boat,15.0,1,其他
oak_door,1.5,16,材料
oak_fence,0.72,64,材料
oak_planks,0.6,64,材料
oak_pressure_plate,2.0,16,材料
oak_sign,1.4,16,材料
oak_slab,0.36,64,材料
oak_stairs,0.9,64,材料
oak_trapdoor,1.2,16,材料
observer,60.0,16,材料
ochre_froglight,15.0,64,材料
ominous_bottle,150.0,16,其他
ominous_trial_key,600.0,1,其他
orange_concrete,5.0,64,材料
orange_shulker_box,1400.0,1,其他
orange_stained_glass,3.0,64,材料
orange_terracotta,1.2,64,材料
packed_mud,0.5,64,材料
painting,8.0,16,其他
paper,2.0,64,材料
pearlescent_froglight,15.0,64,材料
pink_concrete,5.0,64,材料
pink_shulker_box,1400.0,1,其他
pink_stained_glass,3.0,64,材料
pink_terracotta,1.2,64,材料
piston,50.0,16,材料
pitcher_pod,8.0,64,食物
popped_chorus_fruit,10.0,64,食物
powder_snow_bucket,20.0,1,材料
powered_rail,40.0,64,材料
prismarine,8.0,64,材料
pufferfish_bucket,60.0,1,其他
pumpkin_pie,12.0,64,食物
purple_concrete,5.0,64,材料
purple_shulker_box,1400.0,1,其他
purple_stained_glass,3.0,64,材料
purple_terracotta,1.2,64,材料
purpur_block,6.0,64,材料
quartz_block,44.0,16,材料
rabbit_stew,20.0,64,食物
rail,8.0,64,材料
raw_copper,10.0,64,材料
raw_copper_block,99.0,16,材料
raw_gold,60.0,64,材料
raw_gold_block,594.0,1,材料
raw_iron,30.0,64,材料
raw_iron_block,297.0,1,材料
recovery_compass,400.0,1,其他
red_concrete,5.0,64,材料
red_mushroom,3.0,64,材料
red_sand,1.2,64,材料
red_sandstone,1.5,64,材料
red_shulker_box,1400.0,1,其他
red_stained_glass,3.0,64,材料
red_terracotta,1.2,64,材料
redstone_block,158.4,16,材料
redstone_lamp,25.0,16,材料
redstone_ore,18.0,64,材料
redstone_torch,5.0,64,材料
repeater,25.0,16,材料
respawn_anchor,600.0,1,其他
saddle,200.0,1,其他
salmon_bucket,40.0,1,其他
sandstone,1.2,64,材料
sculk_sensor,80.0,16,材料
sea_lantern,20.0,64,材料
sea_pickle,4.0,64,材料
shears,70.0,1,其他
shield,80.0,1,其他
shroomlight,10.0,64,材料
shulker_box,1400.0,1,其他
slime_block,80.0,16,材料
small_dripleaf,4.0,64,材料
smithing_table,50.0,1,其他
smoker,40.0,1,其他
smooth_stone,0.35,64,材料
snowball,1.0,64,材料
soul_campfire,20.0,16,其他
soul_lantern,50.0,16,其他
soul_sand,2.0,64,材料
soul_soil,2.0,64,材料
soul_torch,3.0,64,材料
spectral_arrow,6.0,64,材料
sponge,80.0,16,材料
spore_blossom,10.0,64,材料
spruce_boat,8.0,1,其他
spruce_chest_boat,15.0,1,其他
spruce_door,1.5,16,材料
spruce_fence,0.72,64,材料
spruce_planks,0.6,64,材料
spruce_sign,1.4,16,材料
spruce_slab,0.36,64,材料
spruce_stairs,0.9,64,材料
spruce_trapdoor,1.2,16,材料
spyglass,100.0,1,其他
stick,0.2,64,材料
sticky_piston,80.0,16,材料
stone,0.2,64,材料
stone_axe,5.0,1,其他
stone_bricks,0.3,64,材料
stone_button,1.0,16,材料
stone_hoe,3.0,1,其他
stone_pickaxe,5.0,1,其他
stone_pressure_plate,2.0,16,材料
stone_shovel,2.0,1,其他
stone_sword,3.0,1,其他
stonecutter,40.0,1,其他
sugar,2.0,64,食物
suspicious_stew,15.0,64,食物
tadpole_bucket,40.0,1,其他
target,30.0,16,材料
terracotta,1.0,64,材料
tinted_glass,8.0,64,材料
tnt,30.0,64,材料
tnt_minecart,80.0,1,其他
torch,1.0,64,材料
torchflower_seeds,8.0,64,食物
trapped_chest,20.0,16,材料
trial_key,200.0,1,其他
trident,2000.0,1,其他
tripwire_hook,10.0,16,材料
tropical_fish_bucket,50.0,1,其他
tuff,0.3,64,材料
turtle_helmet,400.0,1,其他
turtle_scute,80.0,64,材料
verdant_froglight,15.0,64,材料
vine,2.0,64,材料
warped_door,2.0,16,材料
warped_fence,0.96,64,材料
warped_fungus,4.0,64,材料
warped_fungus_on_a_stick,30.0,1,其他
warped_planks,0.8,64,材料
warped_sign,1.8,16,材料
warped_slab,0.48,64,材料
warped_stairs,1.2,64,材料
warped_trapdoor,1.6,16,材料
wet_sponge,80.0,16,材料
white_concrete,5.0,64,材料
white_shulker_box,1400.0,1,其他
white_stained_glass,3.0,64,材料
white_terracotta,1.2,64,材料
wind_charge,20.0,64,其他
wolf_armor,400.0,1,其他
wooden_axe,3.0,1,其他
wooden_hoe,2.0,1,其他
wooden_pickaxe,3.0,1,其他
wooden_shovel,1.5,1,其他
wooden_sword,2.5,1,其他
writable_book,15.0,16,其他
yellow_concrete,5.0,64,材料
yellow_shulker_box,1400.0,1,其他
yellow_stained_glass,3.0,64,材料
yellow_terracotta,1.2,64,材料
