index,NIN,count,durability,buy_price,sell_price,field3,field4,field5,tag,bool1,str2,str3,field10,field11,field12,field13,field14,field15,modEnchantData
44,1:kaleidoscope_doll_wither,64,0,200.0,150.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
45,1:kaleidoscope_doll_silverfish,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
46,1:kaleidoscope_doll_piglin,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
47,1:kaleidoscope_doll_zoglin,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
48,1:kaleidoscope_doll_zombified_piglin,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
49,1:kaleidoscope_doll_warden,64,0,200.0,150.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
50,1:kaleidoscope_doll_phantom,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
51,1:kaleidoscope_doll_elder_guardian,64,0,150.0,120.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
52,1:kaleidoscope_doll_guardian,64,0,150.0,120.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
53,1:kaleidoscope_doll_cave_spider,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
54,1:kaleidoscope_doll_spider,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
55,1:kaleidoscope_doll_creeper,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
56,1:kaleidoscope_doll_wither_skeleton,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
57,1:kaleidoscope_doll_stray,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
58,1:kaleidoscope_doll_skeleton,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
59,1:kaleidoscope_doll_ravager,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
60,1:kaleidoscope_doll_illusioner,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
61,1:kaleidoscope_doll_evoker,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
62,1:kaleidoscope_doll_vindicator,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
63,1:kaleidoscope_doll_pillager,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
64,1:kaleidoscope_doll_witch,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
65,1:kaleidoscope_doll_drowned,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
66,1:kaleidoscope_doll_husk,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
67,1:kaleidoscope_doll_zombie_villager,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
68,1:kaleidoscope_doll_zombie,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
69,1:kaleidoscope_doll_rabbit,64,0,100.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
70,1:kaleidoscope_doll_fox,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
71,1:kaleidoscope_doll_parrot,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
72,1:kaleidoscope_doll_llama,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
73,1:kaleidoscope_doll_panda,64,0,100.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
74,1:kaleidoscope_doll_dolphin,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
75,1:kaleidoscope_doll_pufferfish,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
76,1:kaleidoscope_doll_squid,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
77,1:kaleidoscope_doll_glow_squid,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
78,1:kaleidoscope_doll_bee,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
79,1:kaleidoscope_doll_horse,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
80,1:kaleidoscope_doll_snow_golem,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
81,1:kaleidoscope_doll_villager,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
82,1:kaleidoscope_doll_allay,64,0,100.0,120.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
83,1:kaleidoscope_doll_armadillo,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
84,1:kaleidoscope_doll_goat,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
85,1:kaleidoscope_doll_camel,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
86,1:kaleidoscope_doll_axolotl,64,0,100.0,150.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
87,1:kaleidoscope_doll_iron_golem,64,0,100.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
88,1:kaleidoscope_doll_turtle,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
89,1:kaleidoscope_doll_polar_bear,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
90,1:kaleidoscope_doll_trader_llama,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
91,1:kaleidoscope_doll_wolf,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
92,1:kaleidoscope_doll_ocelot,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
93,1:kaleidoscope_doll_cat,64,0,100.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
94,1:kaleidoscope_doll_donkey,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
95,1:kaleidoscope_doll_chicken,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
96,1:kaleidoscope_doll_pig,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
97,1:kaleidoscope_doll_mooshroom,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
98,1:kaleidoscope_doll_cow,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
99,1:kaleidoscope_doll_sheep,64,0,100.0,80.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
100,1:kaleidoscope_doll_ender_dragon,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
101,1:kaleidoscope_doll_shulker,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
102,1:kaleidoscope_doll_enderman,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
103,1:kaleidoscope_doll_abert_cat,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
104,1:kaleidoscope_doll_cr_019,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
105,1:kaleidoscope_doll_tartaric_acid,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
106,1:kaleidoscope_doll_ysbb,64,0,200.0,300.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
107,2:melon,16,0,12.0,8.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,1,0.1,0.9,0.1,[]
108,2:vinegar,16,0,6.0,5.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
109,2:molotov,16,0,66.0,30.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
110,2:miners_star,16,0,170.0,90.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
111,2:honey_wine,16,0,200.0,115.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
112,2:madame_shexiang,16,0,200.0,130.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
113,2:sunset_glow,16,0,200.0,115.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
114,2:sauvignon_blanc_dry_white,16,0,166.0,120.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
115,2:plum_wine,16,0,160.0,80.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
116,2:rum,16,0,200.0,101.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
117,2:whiskey,16,0,188.0,100.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
118,2:vodka,16,0,188.0,96.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
119,2:red_queen,16,0,180.0,100.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
120,2:sweet_berry_wine,16,0,180.0,90.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
121,2:glowflower_brew,16,0,150.0,85.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
122,2:luminous_bride,16,0,150.0,88.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
123,2:riesling_dry_white,16,0,166.0,120.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
124,2:sherry,16,0,160.0,90.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
125,2:mother_snow,16,0,160.0,80.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
126,2:polaris_sweet_white,16,0,160.0,85.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
127,2:carignan,16,0,140.0,75.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
128,2:brandy,16,0,130.0,70.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
129,2:ice_wine,16,0,160.0,80.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
130,2:champagne,16,0,130.0,70.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
131,2:sakura_wine,16,0,120.0,65.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
132,2:wine,16,0,120.0,60.0,,0,0,森罗物语（酒馆）,True,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
133,0:redstone,59,0,3.0,2.0,,0,0,材料,False,金币,金币,0,1.0,20,0.1,0.9,0.1,[]
134,0:glass,,,1.0,0.5,,0,0,材料,False,金币,金币,0,1.0,64,0.0,0.9,0.1,null
135,0:sand,,,0.3,0.1,,0,0,材料,False,金币,金币,0,0.0,64,0.0,0.9,0.1,null
136,0:obsidian,,0,20.0,10.0,,0,0,材料,False,金币,金币,0,1.0,5,0.1,0.9,0.1,[]
137,0:dirt,5,0,0.1,0.03,,0,0,材料,False,金币,金币,0,1.0,64,0.0,0.9,0.1,[]
138,2:ice_grape,64,0,3.0,2.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,20,0.1,0.9,0.1,[]
139,2:gold_grape,64,0,3.0,2.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,20,0.1,0.9,0.1,[]
140,2:green_grape,64,0,3.0,2.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,20,0.1,0.9,0.1,[]
141,2:grapevine,64,0,3.0,1.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
142,2:grape,64,0,3.0,2.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,20,0.1,0.9,0.1,[]
143,2:barrel,64,0,30.0,0.0,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,64,0.0,0.9,0.1,[]
144,2:manual,,0,1.0,0.1,,0,0,森罗物语（酒馆）,False,金币,金币,0,1.0,1,0.1,0.9,0.1,[]
145,3:sakura_fubuki,16,0,40.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
146,3:oolong,16,0,50.0,40.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
147,3:barley_tea,16,0,36.0,20.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
148,3:tieguanyin,16,0,36.0,20.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
149,3:flower_tea,16,0,36.0,20.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
150,3:biluochun,16,0,40.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
151,0:dragon_breath,64,0,30.0,15.0,,0,0,材料,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
152,3:buddha_jumps_over_the_wall,64,0,40.0,40.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
153,3:brown_mushroom_pot_soup,64,0,38.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
154,3:warped_fungus_pot_soup,64,0,38.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
155,3:red_mushroom_pot_soup,64,0,38.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
156,3:crimson_fungus_pot_soup,64,0,38.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
157,3:kaleidoscope_cookery_cold_cut_ham_slices,64,0,50.0,40.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
158,3:oil_splashed_fish,64,0,40.0,32.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
159,3:cold_roasted_meat,64,0,42.0,35.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
160,3:spicy_rabbit_head,64,0,36.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
161,3:spicy_blood_stew,64,0,38.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
162,3:braised_pork_ribs,64,0,31.22,22.31,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
163,3:stuffed_tiger_skin_pepper,64,0,31.22,22.31,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
164,3:numbing_spicy_chicken,64,0,34.55,24.55,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
165,3:fruit_platter,64,0,6.0,6.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
166,3:fried_caterpillar,64,0,40.0,30.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,1,0.15,0.9,0.1,[]
167,3:fried_spring_roll,64,0,33.5,23.5,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
168,3:four_joy_meatball_soup,64,0,33.5,23.5,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
169,3:dough_drop_soup,64,0,33.5,23.5,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
170,3:candied_potato,64,0,33.5,23.5,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
171,3:shengjian_mantou,64,0,33.5,23.5,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
172,3:crystal_lamb_chop,64,0,33.66,23.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.1,0.9,0.1,[]
173,3:frost_lamb_chop,64,0,33.33,23.33,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
174,3:blaze_lamb_chop,64,0,60.0,60.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
175,3:desert_style_sashimi,64,0,31.66,21.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
176,3:tundra_style_sashimi,64,0,31.66,21.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
177,3:nether_style_sashimi,64,0,31.66,21.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
178,3:cold_style_sashimi,64,0,31.66,21.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
179,3:end_style_sashimi,64,0,31.66,21.66,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.15,0.9,0.1,[]
180,3:yakitori,64,0,32.0,22.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
181,3:sweet_and_sour_ender_pearls,64,0,32.0,22.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
182,3:stargazy_pie,64,0,32.0,22.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
183,3:spicy_chicken,64,0,32.0,22.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
184,3:pan_seared_knight_steak,64,0,35.0,25.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
185,3:golden_salad,64,0,60.0,60.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
186,3:fondant_pie,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
187,3:fondant_spider_eye,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
188,3:dongpo_pork,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
189,3:chorus_fried_egg,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
190,3:braised_fish,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
191,3:slime_ball_meal,64,0,33.0,23.0,,0,0,森罗物语（厨房）,False,金币,金币,0,1.0,5,0.15,0.9,0.1,[]
