id,tier,mat_only,mult,unit,old_buy,new_buy,new_sell,count,recipe_type
kaleidoscope_cookery:crystal_lamb_chop,L1,0.54,3.0,2.81,74.2,45.0,28.13,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:dongpo_pork,L1,0.4,3.0,2.39,38.25,38.25,23.91,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:donkey_burger,L1,0.21,3.0,1.84,29.51,29.51,18.44,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:dough_drop_soup,L2,0.54,4.0,4.16,66.6,66.6,41.63,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:dumpling,L2,0.13,4.0,2.52,40.36,40.36,25.23,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:egg_fried_rice,L1,0.58,3.0,2.95,47.13,47.13,29.46,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:fearsome_thick_soup,L2,20.36,4.0,83.43,1334.9,1334.9,834.31,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:flower_tea,L1,0.43,3.0,2.48,39.6,39.6,24.75,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:fondant_pie,L1,0.57,3.0,2.91,46.5,46.5,29.06,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:fondant_spider_eye,L3,0.44,5.0,5.72,91.5,91.5,57.19,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:four_joy_meatball_soup,L2,0.49,4.0,3.98,63.6,63.6,39.75,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:fried_caterpillar,L1,0.41,3.0,2.44,39.0,39.0,24.38,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:fried_egg,L1,0.13,3.0,1.58,25.2,25.2,15.75,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:frost_lamb_chop,L1,0.69,3.0,3.28,52.5,52.5,32.81,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:hot_dry_noodles,L2,0.48,4.0,3.9,62.4,62.4,39.0,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:hui_noodle,L2,0.53,4.0,4.1,65.6,65.6,41.0,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:laba_congee,L2,0.45,4.0,3.79,60.6,60.6,37.88,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:lamb_and_radish_soup,L2,0.51,4.0,4.04,64.6,64.6,40.38,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:mantou,L2,0.13,4.0,2.5,40.0,40.0,25.0,16,kaleidoscope_cookery:steamer
kaleidoscope_cookery:meat_pie,L1,0.13,3.0,1.58,25.2,25.2,15.75,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:numbing_spicy_chicken,L2,0.47,4.0,3.87,61.9,61.9,38.69,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:oil_splashed_fish,L1,0.46,3.0,2.58,41.25,41.25,25.78,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:oolong,L1,60.05,3.0,181.35,2901.6,2901.6,1813.5,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:pan_seared_knight_steak,L3,0.44,5.0,5.68,90.88,90.88,56.8,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:pork_bone_soup,L2,0.42,4.0,3.69,59.1,59.1,36.94,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:pufferfish_soup,L2,0.41,4.0,3.65,58.4,58.4,36.5,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:qingtuan,L2,0.13,4.0,2.5,40.0,40.0,25.0,16,kaleidoscope_cookery:steamer
kaleidoscope_cookery:qingtuan_plate,L1,1.5,3.0,5.7,91.2,91.2,57.0,16,minecraft:crafting_shapeless
kaleidoscope_cookery:raw_cow_offal,L0,0.03,1.5,0.2,12.6,12.6,7.88,64,kaleidoscope_cookery:chopping_board
kaleidoscope_cookery:raw_cut_small_meats,L0,0.03,1.5,0.19,12.23,12.23,7.64,64,kaleidoscope_cookery:chopping_board
kaleidoscope_cookery:raw_noodles,L0,0.06,1.5,0.24,15.6,15.6,9.75,64,kaleidoscope_cookery:chopping_board
kaleidoscope_cookery:raw_pork_belly,L0,0.03,1.5,0.2,12.6,12.6,7.88,64,kaleidoscope_cookery:chopping_board
kaleidoscope_cookery:sakura_fubuki,L1,0.43,3.0,2.48,39.6,39.6,24.75,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:scramble_egg_with_tomatoes,L1,0.54,3.0,2.81,45.0,45.0,28.13,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:scramble_egg_with_tomatoes_rice_bowl,L2,0.64,4.0,4.58,73.24,73.24,45.78,16,kaleidoscope_cookery:rice_bowl
kaleidoscope_cookery:seafood_miso_soup,L2,0.41,4.0,3.65,58.4,58.4,36.5,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:shengjian_mantou,L2,0.13,4.0,2.5,40.0,40.0,25.0,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:shengjian_mantou_plate,L1,1.63,3.0,6.08,97.2,97.2,60.75,16,minecraft:crafting_shapeless
kaleidoscope_cookery:slime_ball_meal,L1,0.48,3.0,2.63,42.0,42.0,26.25,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:spicy_blood_stew,L2,0.68,4.0,4.71,75.4,75.4,47.13,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:spicy_chicken,L1,0.47,3.0,2.6,41.63,41.63,26.02,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:spicy_rabbit_head,L1,0.48,3.0,2.63,42.0,42.0,26.25,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:stargazy_pie,L3,0.58,5.0,6.42,102.75,102.75,64.22,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sticky_candy,L1,0.13,3.0,1.58,25.2,25.2,15.75,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sticky_candy_plate,L1,1.5,3.0,5.7,91.2,91.2,57.0,16,minecraft:crafting_shapeless
kaleidoscope_cookery:sticky_rice_cake,L1,0.11,3.0,1.52,24.33,24.33,15.21,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sticky_rice_cake_plate,L1,1.53,3.0,5.8,92.87,92.87,58.04,16,minecraft:crafting_shapeless
kaleidoscope_cookery:stir_fried_pork_with_peppers,L1,0.44,3.0,2.53,40.5,40.5,25.31,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:stir_fried_pork_with_peppers_rice_bowl,L2,0.55,4.0,4.2,67.24,67.24,42.03,16,kaleidoscope_cookery:rice_bowl
kaleidoscope_cookery:stuffed_tiger_skin_pepper,L1,0.44,3.0,2.52,40.31,40.31,25.19,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sweet_and_sour_ender_pearls,L3,8.35,5.0,45.25,724.0,724.0,452.5,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sweet_and_sour_pork,L1,0.41,3.0,2.44,39.0,39.0,24.38,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl,L2,0.52,4.0,4.08,65.24,65.24,40.78,16,kaleidoscope_cookery:rice_bowl
kaleidoscope_cookery:tieguanyin,L1,0.8,3.0,3.6,57.6,57.6,36.0,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:tomato_platter,L1,1.31,3.0,5.14,82.2,82.2,51.38,16,minecraft:crafting_shapeless
kaleidoscope_cookery:udon_noodle,L2,0.65,4.0,4.6,73.6,73.6,46.0,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:watermelon_platter,L1,1.09,3.0,4.48,71.7,71.7,44.81,16,minecraft:crafting_shapeless
kaleidoscope_cookery:zongzi,L2,0.11,4.0,2.46,39.36,39.36,24.6,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:zongzi_plate,L1,1.46,3.0,5.58,89.27,89.27,55.79,16,minecraft:crafting_shapeless
kaleidoscope_tavern:allium_garden,L2,0.52,4.0,4.06,65.0,65.0,40.63,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:bloody_mary,L2,0.52,4.0,4.06,65.0,65.0,40.63,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:brandy,L2,0.23,4.0,2.94,47.0,47.0,29.38,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:brass_heart,L2,0.7,4.0,4.81,77.0,77.0,48.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:carignan,L2,0.2,4.0,2.81,45.0,45.0,28.13,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:champagne,L2,0.2,4.0,2.81,45.0,45.0,28.13,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:depth_charge,L2,0.5,4.0,4.01,64.2,64.2,40.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:emerald,L2,0.7,4.0,4.81,77.0,77.0,48.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:glow_berries_bucket,L1,0.38,3.0,2.33,37.2,37.2,23.25,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:glow_berries_juice,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:glowflower_brew,L2,0.27,4.0,3.06,49.0,49.0,30.63,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:godfather,L2,0.58,4.0,4.31,69.0,69.0,43.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:gold_grape_bucket,L1,0.38,3.0,2.33,37.2,37.2,23.25,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:gold_grape_juice,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:grape_bucket,L1,0.38,3.0,2.33,37.2,37.2,23.25,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:grape_juice,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:grasshopper,L2,0.63,4.0,4.51,72.2,72.2,45.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:green_grape_bucket,L1,0.38,3.0,2.33,37.2,37.2,23.25,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:green_grape_juice,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:honey_wine,L2,0.3,4.0,3.19,51.0,51.0,31.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:ice_grape_bucket,L1,0.38,3.0,2.33,37.2,37.2,23.25,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:ice_grape_juice,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:ice_wine,L2,0.17,4.0,2.69,43.0,43.0,26.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:luminous_bride,L2,0.3,4.0,3.19,51.0,51.0,31.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:madame_shexiang,L2,0.3,4.0,3.19,51.0,51.0,31.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:miners_star,L3,0.23,5.0,4.67,74.75,74.75,46.72,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:mojito,L2,0.55,4.0,4.21,67.4,67.4,42.13,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:molotov,L3,0.08,5.0,3.89,62.25,62.25,38.91,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:mother_snow,L2,0.2,4.0,2.81,45.0,45.0,28.13,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:nether_special,L3,0.58,5.0,6.39,102.25,102.25,63.91,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:plum_wine,L2,0.17,4.0,2.69,43.0,43.0,26.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:polaris_sweet_white,L2,0.27,4.0,3.06,49.0,49.0,30.63,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:red_queen,L2,0.18,4.0,2.72,43.57,43.57,27.23,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:riesling_dry_white,L2,0.23,4.0,2.94,47.0,47.0,29.38,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:rum,L2,0.16,4.0,2.64,42.2,42.2,26.38,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:sakura_wine,L2,0.2,4.0,2.81,45.0,45.0,28.13,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:sauvignon_blanc_dry_white,L2,0.23,4.0,2.94,47.0,47.0,29.38,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:screwdriver,L2,0.77,4.0,5.06,81.0,81.0,50.63,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:sculk_special,L3,0.52,5.0,6.08,97.25,97.25,60.78,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:sherry,L2,0.45,4.0,3.81,61.0,61.0,38.13,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:sunset_glow,L2,0.41,4.0,3.63,58.0,58.0,36.25,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:sweet_berries_bucket,L1,0.25,3.0,1.95,31.2,31.2,19.5,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:sweet_berries_juice,L1,0.06,3.0,1.39,22.2,22.2,13.88,16,kaleidoscope_tavern:pressing_tub
kaleidoscope_tavern:sweet_berry_wine,L2,0.17,4.0,2.69,43.0,43.0,26.88,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:vodka,L2,0.18,4.0,2.7,43.2,43.2,27.0,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:whiskey,L2,0.18,4.0,2.7,43.2,43.2,27.0,16,kaleidoscope_tavern:barrel
kaleidoscope_tavern:white_lady,L2,0.66,4.0,4.64,74.2,74.2,46.38,16,kaleidoscope_tavern:shaker
kaleidoscope_tavern:wine,L2,0.17,4.0,2.69,43.0,43.0,26.88,16,kaleidoscope_tavern:barrel
