name,action,old_buy,new_buy,count,tag
copper_grate,update,18.0,1.95,1,方块
copper_trapdoor,update,16.0,3.72,1,其他
cracked_deepslate_bricks,add,,0.48,64,方块
cracked_deepslate_tiles,add,,0.48,64,方块
cracked_stone_bricks,add,,0.35,64,方块
crafter,add,,80.0,1,其他
crimson_button,update,2.0,0.64,16,方块
crimson_fence_gate,add,,1.2,16,方块
crimson_fungus,update,4.0,2.0,64,方块
crimson_hanging_sign,add,,2.8,16,方块
crimson_hyphae,update,2.0,2.4,64,方块
crimson_pressure_plate,add,,0.96,16,方块
crimson_roots,add,,1.5,64,方块
crimson_slab,update,0.48,0.44,64,方块
crimson_stem,update,2.0,2.4,64,方块
cut_copper,add,,1.95,1,方块
cut_copper_slab,add,,1.07,1,方块
cut_copper_stairs,add,,2.93,1,方块
cut_red_sandstone,add,,1.7,64,方块
cut_sandstone,add,,1.4,64,方块
cyan_banner,add,,6.0,16,其他
cyan_bed,update,8.0,8.0,1,其他
cyan_candle,add,,6.0,16,其他
cyan_carpet,update,8.0,3.0,64,方块
cyan_glazed_terracotta,add,,3.5,64,方块
cyan_shulker_box,update,1400.0,1400.0,1,其他
cyan_stained_glass_pane,update,2.0,1.5,64,方块
cyan_terracotta,update,1.2,1.5,64,方块
dark_oak_boat,update,8.0,8.0,1,其他
dark_oak_button,update,2.0,0.5,16,方块
dark_oak_chest_boat,update,15.0,15.0,1,其他
dark_oak_fence_gate,add,,0.9,16,方块
dark_oak_hanging_sign,add,,2.2,16,方块
dark_oak_leaves,add,,1.0,64,方块
dark_oak_pressure_plate,add,,0.72,16,方块
dark_oak_sapling,add,,2.0,64,方块
dark_oak_slab,update,0.36,0.33,64,方块
dark_oak_wood,add,,2.2,64,方块
dark_prismarine_slab,add,,5.5,64,方块
dark_prismarine_stairs,add,,15.0,64,方块
dead_brain_coral,add,,1.5,16,方块
dead_brain_coral_block,add,,2.0,64,方块
dead_brain_coral_fan,add,,1.5,16,方块
dead_bubble_coral,add,,1.5,16,方块
dead_bubble_coral_block,add,,2.0,64,方块
dead_bubble_coral_fan,add,,1.5,16,方块
dead_bush,add,,0.5,16,方块
dead_fire_coral,add,,1.5,16,方块
dead_fire_coral_block,add,,2.0,64,方块
dead_fire_coral_fan,add,,1.5,16,方块
dead_horn_coral,add,,1.5,16,方块
dead_horn_coral_block,add,,2.0,64,方块
dead_horn_coral_fan,add,,1.5,16,方块
dead_tube_coral,add,,1.5,16,方块
dead_tube_coral_block,add,,2.0,64,方块
dead_tube_coral_fan,add,,1.5,16,方块
deepslate_brick_slab,add,,0.25,64,方块
deepslate_brick_stairs,add,,0.68,64,方块
deepslate_brick_wall,add,,0.54,64,方块
deepslate_bricks,add,,0.45,64,方块
deepslate_tile_slab,add,,0.25,64,方块
deepslate_tile_stairs,add,,0.68,64,方块
deepslate_tile_wall,add,,0.54,64,方块
deepslate_tiles,add,,0.45,64,方块
diorite_slab,add,,0.11,64,方块
diorite_stairs,add,,0.3,64,方块
diorite_wall,add,,0.24,64,方块
dirt_path,add,,0.8,64,方块
dried_kelp_block,add,,6.0,16,方块
end_brick_stairs,update,5.0,6.0,64,方块
end_bricks,update,5.0,4.0,64,方块
end_crystal,update,500.0,500.0,1,其他
end_rod,update,64.0,20.0,16,其他
end_stone_brick_slab,update,5.0,2.2,64,方块
end_stone_brick_stairs,update,5.0,6.0,64,方块
end_stone_brick_wall,update,5.0,4.8,64,方块
end_stone_bricks,update,5.0,4.0,64,方块
exposed_copper,add,,1.86,1,方块
exposed_cut_copper,add,,1.95,1,方块
exposed_cut_copper_slab,add,,1.07,1,方块
exposed_cut_copper_stairs,add,,2.93,1,方块
fern,add,,0.5,16,方块
fire_coral,add,,4.0,16,方块
fire_coral_fan,add,,4.0,16,方块
flowering_azalea,add,,4.0,16,方块
furnace_minecart,add,,50.0,1,其他
glow_item_frame,add,,12.0,16,其他
granite_slab,add,,0.11,64,方块
granite_stairs,add,,0.3,64,方块
granite_wall,add,,0.24,64,方块
grass_block,add,,1.0,64,方块
gray_banner,add,,6.0,16,其他
gray_bed,update,8.0,8.0,1,其他
gray_candle,add,,6.0,16,其他
gray_carpet,update,8.0,3.0,64,方块
gray_glazed_terracotta,add,,3.5,64,方块
gray_shulker_box,update,1400.0,1400.0,1,其他
gray_stained_glass_pane,update,2.0,1.5,64,方块
gray_terracotta,update,1.2,1.5,64,方块
green_banner,add,,6.0,16,其他
green_bed,update,8.0,8.0,1,其他
green_candle,add,,6.0,16,其他
green_carpet,update,8.0,3.0,64,方块
green_glazed_terracotta,add,,3.5,64,方块
green_shulker_box,update,1400.0,1400.0,1,其他
green_stained_glass_pane,update,2.0,1.5,64,方块
green_terracotta,update,1.2,1.5,64,方块
hay_block,add,,8.0,16,方块
honeycomb_block,add,,8.8,16,方块
horn_coral,add,,4.0,16,方块
horn_coral_fan,add,,4.0,16,方块
iron_bars,add,,12.0,64,材料
item_frame,add,,6.0,16,其他
jungle_boat,update,8.0,8.0,1,其他
jungle_button,update,2.0,0.5,16,方块
jungle_chest_boat,update,15.0,15.0,1,其他
jungle_fence_gate,add,,0.9,16,方块
jungle_hanging_sign,add,,2.2,16,方块
jungle_leaves,add,,1.0,64,方块
jungle_pressure_plate,add,,0.72,16,方块
jungle_sapling,add,,2.0,64,方块
jungle_slab,update,0.36,0.33,64,方块
jungle_wood,add,,2.2,64,方块
large_fern,add,,1.0,16,方块
light_blue_banner,add,,6.0,16,其他
light_blue_bed,update,8.0,8.0,1,其他
light_blue_candle,add,,6.0,16,其他
light_blue_carpet,update,8.0,3.0,64,方块
light_blue_glazed_terracotta,add,,3.5,64,方块
light_blue_shulker_box,update,1400.0,1400.0,1,其他
light_blue_stained_glass_pane,update,2.0,1.5,64,方块
light_blue_terracotta,update,1.2,1.5,64,方块
light_gray_banner,add,,6.0,16,其他
light_gray_bed,update,8.0,8.0,1,其他
light_gray_candle,add,,6.0,16,其他
light_gray_carpet,update,8.0,3.0,64,方块
light_gray_glazed_terracotta,add,,3.5,64,方块
light_gray_shulker_box,update,1400.0,1400.0,1,其他
light_gray_stained_glass_pane,update,2.0,1.5,64,方块
light_gray_terracotta,update,1.2,1.5,64,方块
lime_banner,add,,6.0,16,其他
lime_bed,update,8.0,8.0,1,其他
lime_candle,add,,6.0,16,其他
lime_carpet,update,8.0,3.0,64,方块
lime_glazed_terracotta,add,,3.5,64,方块
lime_shulker_box,update,1400.0,1400.0,1,其他
lime_stained_glass_pane,update,2.0,1.5,64,方块
lime_terracotta,update,1.2,1.5,64,方块
magenta_banner,add,,6.0,16,其他
magenta_bed,update,8.0,8.0,1,其他
magenta_candle,add,,6.0,16,其他
magenta_carpet,update,8.0,3.0,64,方块
magenta_glazed_terracotta,add,,3.5,64,方块
magenta_shulker_box,update,1400.0,1400.0,1,其他
magenta_stained_glass_pane,update,2.0,1.5,64,方块
magenta_terracotta,update,1.2,1.5,64,方块
mangrove_boat,update,8.0,8.0,1,其他
mangrove_button,update,2.0,0.5,16,方块
mangrove_chest_boat,update,15.0,15.0,1,其他
mangrove_fence_gate,add,,0.9,16,方块
mangrove_hanging_sign,add,,2.2,16,方块
mangrove_leaves,add,,1.0,64,方块
mangrove_pressure_plate,add,,0.72,16,方块
mangrove_sapling,add,,2.0,64,方块
mangrove_slab,update,0.36,0.33,64,方块
mangrove_wood,add,,2.2,64,方块
mossy_cobblestone,add,,0.25,64,方块
mossy_cobblestone_slab,add,,0.14,64,方块
mossy_cobblestone_stairs,add,,0.38,64,方块
mossy_cobblestone_wall,add,,0.3,64,方块
mossy_stone_brick_slab,add,,0.17,64,方块
mossy_stone_brick_stairs,add,,0.45,64,方块
mossy_stone_brick_wall,add,,0.36,64,方块
mossy_stone_bricks,add,,0.4,64,方块
mud_brick_slab,add,,0.83,64,方块
mud_brick_stairs,add,,2.25,64,方块
mud_brick_wall,add,,1.8,64,方块
mud_bricks,add,,1.5,64,方块
mycelium,add,,3.0,64,方块
nether_brick_fence,update,2.5,2.4,64,方块
nether_brick_slab,update,1.2,1.1,64,方块
nether_brick_stairs,update,2.5,3.0,64,方块
nether_brick_wall,update,2.5,2.4,64,方块
nether_wart_block,add,,4.0,64,方块
oak_boat,update,8.0,8.0,1,其他
oak_button,update,1.0,0.5,16,方块
oak_chest_boat,update,15.0,15.0,1,其他
oak_fence_gate,add,,0.9,16,方块
oak_hanging_sign,add,,2.2,16,方块
oak_leaves,add,,1.0,64,方块
oak_pressure_plate,update,2.0,0.72,16,方块
oak_sapling,add,,2.0,64,方块
oak_slab,update,0.36,0.33,64,方块
oak_wood,add,,2.2,64,方块
orange_banner,add,,6.0,16,其他
orange_bed,update,8.0,8.0,1,其他
orange_candle,add,,6.0,16,其他
orange_carpet,update,8.0,3.0,64,方块
orange_glazed_terracotta,add,,3.5,64,方块
orange_shulker_box,update,1400.0,1400.0,1,其他
orange_stained_glass_pane,update,2.0,1.5,64,方块
orange_terracotta,update,1.2,1.5,64,方块
oxidized_copper,add,,1.86,1,方块
oxidized_cut_copper,add,,1.95,1,方块
oxidized_cut_copper_slab,add,,1.07,1,方块
oxidized_cut_copper_stairs,add,,2.93,1,方块
pale_oak_boat,add,,8.0,1,其他
pale_oak_button,update,2.0,0.56,16,方块
pale_oak_chest_boat,add,,15.0,1,其他
pale_oak_door,add,,1.75,16,方块
pale_oak_fence,add,,0.84,64,方块
pale_oak_fence_gate,add,,1.05,16,方块
pale_oak_hanging_sign,add,,2.5,16,方块
pale_oak_leaves,add,,1.0,64,方块
pale_oak_log,add,,2.0,64,方块
pale_oak_planks,add,,0.7,64,方块
pale_oak_pressure_plate,add,,0.84,16,方块
pale_oak_sapling,add,,2.0,64,方块
pale_oak_sign,add,,1.6,16,方块
pale_oak_slab,add,,0.39,64,方块
pale_oak_stairs,add,,1.05,64,方块
pale_oak_trapdoor,add,,1.4,16,方块
pale_oak_wood,add,,2.2,64,方块
pink_banner,add,,6.0,16,其他
pink_bed,update,8.0,8.0,1,其他
pink_candle,add,,6.0,16,其他
pink_carpet,update,8.0,3.0,64,方块
pink_glazed_terracotta,add,,3.5,64,方块
pink_shulker_box,update,1400.0,1400.0,1,其他
pink_stained_glass_pane,update,2.0,1.5,64,方块
pink_terracotta,update,1.2,1.5,64,方块
podzol,add,,2.0,64,方块
polished_andesite,add,,0.3,64,方块
polished_andesite_slab,add,,0.17,64,方块
polished_andesite_stairs,add,,0.45,64,方块
polished_blackstone_brick_slab,update,1.0,0.99,64,方块
polished_blackstone_brick_stairs,update,2.0,2.7,64,方块
polished_blackstone_brick_wall,update,2.0,2.16,64,方块
polished_blackstone_slab,update,0.9,0.83,64,方块
polished_blackstone_stairs,update,1.8,2.25,64,方块
polished_blackstone_wall,add,,1.8,64,方块
polished_deepslate,add,,0.4,64,方块
polished_deepslate_slab,add,,0.22,64,方块
polished_deepslate_stairs,add,,0.6,64,方块
polished_deepslate_wall,add,,0.48,64,方块
polished_diorite,add,,0.3,64,方块
polished_diorite_slab,add,,0.17,64,方块
polished_diorite_stairs,add,,0.45,64,方块
polished_granite,add,,0.3,64,方块
polished_granite_slab,add,,0.17,64,方块
polished_granite_stairs,add,,0.45,64,方块
polished_tuff,add,,0.4,64,方块
polished_tuff_slab,add,,0.22,64,方块
polished_tuff_stairs,add,,0.6,64,方块
polished_tuff_wall,add,,0.48,64,方块
prismarine_brick_slab,add,,5.5,64,方块
prismarine_brick_stairs,add,,15.0,64,方块
prismarine_bricks,add,,10.0,64,方块
prismarine_slab,add,,4.4,64,方块
prismarine_stairs,add,,12.0,64,方块
prismarine_wall,add,,9.6,64,方块
purple_banner,add,,6.0,16,其他
purple_bed,update,8.0,8.0,1,其他
purple_candle,add,,6.0,16,其他
purple_carpet,update,8.0,3.0,64,方块
purple_glazed_terracotta,add,,3.5,64,方块
purple_shulker_box,update,1400.0,1400.0,1,其他
purple_stained_glass_pane,update,2.0,1.5,64,方块
purple_terracotta,update,1.2,1.5,64,方块
purpur_pillar,update,6.0,6.5,64,方块
purpur_slab,update,3.0,3.3,64,方块
purpur_stairs,update,6.0,9.0,64,方块
quartz_block,update,0.69,11.04,16,方块
quartz_bricks,add,,12.7,16,方块
quartz_pillar,add,,12.14,16,方块
quartz_slab,add,,6.07,16,方块
quartz_stairs,add,,16.56,16,方块
raw_copper_block,update,1.55,1.55,1,方块
red_banner,add,,6.0,16,其他
red_bed,update,8.0,8.0,1,其他
red_candle,add,,6.0,16,其他
red_carpet,update,8.0,3.0,64,方块
red_glazed_terracotta,add,,3.5,64,方块
red_nether_brick_slab,update,1.5,1.65,64,方块
red_nether_brick_stairs,update,3.5,4.5,64,方块
red_nether_brick_wall,update,3.0,3.6,64,方块
red_sandstone_slab,add,,0.83,64,方块
red_sandstone_stairs,add,,2.25,64,方块
red_sandstone_wall,add,,1.8,64,方块
red_shulker_box,update,1400.0,1400.0,1,其他
red_stained_glass_pane,update,2.0,1.5,64,方块
red_terracotta,update,1.2,1.5,64,方块
respawn_anchor,update,600.0,200.0,1,其他
rooted_dirt,add,,1.0,64,方块
sandstone_slab,add,,0.66,64,方块
sandstone_stairs,add,,1.8,64,方块
sandstone_wall,add,,1.44,64,方块
scaffolding,add,,2.0,64,材料
short_grass,add,,0.3,16,方块
smooth_quartz,add,,12.14,16,方块
smooth_quartz_slab,add,,6.68,16,方块
smooth_quartz_stairs,add,,18.22,16,方块
smooth_red_sandstone,add,,1.8,64,方块
smooth_sandstone,add,,1.5,64,方块
spruce_boat,update,8.0,8.0,1,其他
spruce_button,update,2.0,0.5,16,方块
spruce_chest_boat,update,15.0,15.0,1,其他
spruce_fence_gate,add,,0.9,16,方块
spruce_hanging_sign,add,,2.2,16,方块
spruce_leaves,add,,1.0,64,方块
spruce_pressure_plate,add,,0.72,16,方块
spruce_sapling,add,,2.0,64,方块
spruce_slab,update,0.36,0.33,64,方块
spruce_wood,add,,2.2,64,方块
stained_glass,update,2.0,3.0,64,方块
stained_glass_pane,update,2.0,1.5,64,方块
stone_brick_slab,add,,0.17,64,方块
stone_brick_stairs,add,,0.45,64,方块
stone_brick_wall,add,,0.36,64,方块
stone_stairs,add,,0.3,64,方块
stripped_acacia_log,add,,2.2,64,方块
stripped_acacia_wood,add,,2.4,64,方块
stripped_birch_log,add,,2.2,64,方块
stripped_birch_wood,add,,2.4,64,方块
stripped_cherry_log,add,,2.6,64,方块
stripped_cherry_wood,add,,2.8,64,方块
stripped_crimson_hyphae,add,,2.6,64,方块
stripped_crimson_stem,update,2.2,2.6,64,方块
stripped_dark_oak_log,add,,2.2,64,方块
stripped_dark_oak_wood,add,,2.4,64,方块
stripped_jungle_log,add,,2.2,64,方块
stripped_jungle_wood,add,,2.4,64,方块
stripped_mangrove_log,add,,2.2,64,方块
stripped_mangrove_wood,add,,2.4,64,方块
stripped_oak_log,add,,2.2,64,方块
stripped_oak_wood,add,,2.4,64,方块
stripped_pale_oak_log,add,,2.2,64,方块
stripped_pale_oak_wood,add,,2.4,64,方块
stripped_spruce_log,add,,2.2,64,方块
stripped_spruce_wood,add,,2.4,64,方块
stripped_warped_hyphae,add,,2.6,64,方块
stripped_warped_stem,update,2.2,2.6,64,方块
tall_grass,add,,0.6,16,方块
tube_coral,add,,4.0,16,方块
tube_coral_fan,add,,4.0,16,方块
tuff_brick_slab,add,,0.25,64,方块
tuff_brick_stairs,add,,0.68,64,方块
tuff_brick_wall,add,,0.54,64,方块
tuff_bricks,add,,0.45,64,方块
tuff_slab,add,,0.17,64,方块
tuff_stairs,add,,0.45,64,方块
tuff_wall,add,,0.36,64,方块
warped_button,update,2.0,0.64,16,方块
warped_fence_gate,add,,1.2,16,方块
warped_fungus,update,4.0,2.0,64,方块
warped_hanging_sign,add,,2.8,16,方块
warped_hyphae,update,2.0,2.4,64,方块
warped_pressure_plate,add,,0.96,16,方块
warped_roots,add,,1.5,64,方块
warped_slab,update,0.48,0.44,64,方块
warped_stem,update,2.0,2.4,64,方块
warped_wart_block,add,,4.0,64,方块
waxed_copper,add,,1.86,1,方块
waxed_cut_copper,add,,1.95,1,方块
waxed_cut_copper_slab,add,,1.07,1,方块
waxed_cut_copper_stairs,add,,2.93,1,方块
waxed_exposed_copper,add,,1.86,1,方块
waxed_exposed_cut_copper,add,,1.95,1,方块
waxed_exposed_cut_copper_slab,add,,1.07,1,方块
waxed_exposed_cut_copper_stairs,add,,2.93,1,方块
waxed_oxidized_copper,add,,1.86,1,方块
waxed_oxidized_cut_copper,add,,1.95,1,方块
waxed_oxidized_cut_copper_slab,add,,1.07,1,方块
waxed_oxidized_cut_copper_stairs,add,,2.93,1,方块
waxed_weathered_copper,add,,1.86,1,方块
waxed_weathered_cut_copper,add,,1.95,1,方块
waxed_weathered_cut_copper_slab,add,,1.07,1,方块
waxed_weathered_cut_copper_stairs,add,,2.93,1,方块
weathered_copper,add,,1.86,1,方块
weathered_cut_copper,add,,1.95,1,方块
weathered_cut_copper_slab,add,,1.07,1,方块
weathered_cut_copper_stairs,add,,2.93,1,方块
white_banner,add,,6.0,16,其他
white_bed,update,8.0,8.0,1,其他
white_candle,add,,6.0,16,其他
white_carpet,update,8.0,3.0,64,方块
white_glazed_terracotta,add,,3.5,64,方块
white_shulker_box,update,1400.0,1400.0,1,其他
white_stained_glass_pane,update,2.0,1.5,64,方块
white_terracotta,update,1.2,1.5,64,方块
yellow_banner,add,,6.0,16,其他
yellow_bed,update,8.0,8.0,1,其他
yellow_candle,add,,6.0,16,其他
yellow_carpet,update,8.0,3.0,64,方块
yellow_glazed_terracotta,add,,3.5,64,方块
yellow_shulker_box,update,1400.0,1400.0,1,其他
yellow_stained_glass_pane,update,2.0,1.5,64,方块
yellow_terracotta,update,1.2,1.5,64,方块
