NIN,old_buy,new_buy,old_sell,new_sell,action
1:kaleidoscope_doll_panda,100.0,300.0,100.0,187.5,doll
1:kaleidoscope_doll_dolphin,100.0,300.0,80.0,187.5,doll
1:kaleidoscope_doll_pufferfish,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_squid,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_glow_squid,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_bee,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_horse,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_snow_golem,100.0,300.0,80.0,187.5,doll
1:kaleidoscope_doll_villager,100.0,300.0,80.0,187.5,doll
1:kaleidoscope_doll_allay,100.0,300.0,120.0,187.5,doll
1:kaleidoscope_doll_armadillo,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_goat,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_camel,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_axolotl,100.0,300.0,150.0,187.5,doll
1:kaleidoscope_doll_iron_golem,100.0,300.0,100.0,187.5,doll
1:kaleidoscope_doll_turtle,100.0,300.0,80.0,187.5,doll
1:kaleidoscope_doll_polar_bear,100.0,300.0,80.0,187.5,doll
1:kaleidoscope_doll_trader_llama,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_wolf,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_ocelot,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_cat,100.0,100.0,100.0,62.5,doll
1:kaleidoscope_doll_donkey,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_chicken,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_pig,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_mooshroom,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_cow,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_sheep,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_ender_dragon,200.0,6570.0,300.0,4106.25,doll
1:kaleidoscope_doll_shulker,200.0,2000.0,300.0,1250.0,doll
1:kaleidoscope_doll_enderman,200.0,4000.0,300.0,2500.0,doll
1:kaleidoscope_doll_abert_cat,200.0,200.0,300.0,125.0,doll
1:kaleidoscope_doll_cr_019,200.0,200.0,300.0,125.0,doll
1:kaleidoscope_doll_tartaric_acid,200.0,200.0,300.0,125.0,doll
1:kaleidoscope_doll_ysbb,200.0,200.0,300.0,125.0,doll
2:melon,12.0,4.0,8.0,2.5,tavern-L0
2:vinegar,6.0,8.0,5.0,5.0,tavern-L1
2:molotov,66.0,66.0,30.0,41.25,tavern-L2
2:miners_star,170.0,170.0,90.0,106.25,tavern-L2
2:honey_wine,200.0,200.0,115.0,125.0,tavern-L2
2:madame_shexiang,200.0,200.0,130.0,125.0,tavern-L2
2:sunset_glow,200.0,200.0,115.0,125.0,tavern-L2
2:sauvignon_blanc_dry_white,166.0,166.0,120.0,103.75,tavern-L2
2:plum_wine,160.0,160.0,80.0,100.0,tavern-L2
2:rum,200.0,200.0,101.0,125.0,tavern-L2
2:whiskey,188.0,188.0,100.0,117.5,tavern-L2
2:vodka,188.0,188.0,96.0,117.5,tavern-L2
2:red_queen,180.0,180.0,100.0,112.5,tavern-L2
2:sweet_berry_wine,180.0,180.0,90.0,112.5,tavern-L2
2:glowflower_brew,150.0,150.0,85.0,93.75,tavern-L2
2:luminous_bride,150.0,150.0,88.0,93.75,tavern-L2
2:riesling_dry_white,166.0,166.0,120.0,103.75,tavern-L2
2:sherry,160.0,160.0,90.0,100.0,tavern-L2
2:mother_snow,160.0,160.0,80.0,100.0,tavern-L2
2:polaris_sweet_white,160.0,160.0,85.0,100.0,tavern-L2
2:carignan,140.0,140.0,75.0,87.5,tavern-L2
2:brandy,130.0,130.0,70.0,81.25,tavern-L2
2:ice_wine,160.0,160.0,80.0,100.0,tavern-L2
2:champagne,130.0,130.0,70.0,81.25,tavern-L2
2:sakura_wine,120.0,120.0,65.0,75.0,tavern-L2
2:wine,120.0,120.0,60.0,75.0,tavern-L2
0:redstone,3.0,16.0,2.0,10.0,update
0:glass,1.0,2.0,0.5,1.25,update
0:sand,0.3,1.0,0.1,0.63,update
0:obsidian,20.0,40.0,10.0,25.0,update
0:dirt,0.1,0.1,0.03,0.06,update
2:ice_grape,3.0,3.0,2.0,1.88,tavern-L0
2:gold_grape,3.0,3.0,2.0,1.88,tavern-L0
2:green_grape,3.0,3.0,2.0,1.88,tavern-L0
2:grapevine,3.0,3.0,1.0,1.88,tavern-L0
2:grape,3.0,3.0,2.0,1.88,tavern-L0
2:barrel,30.0,30.0,0.0,18.75,tavern-L1
2:manual,1.0,1.0,0.1,0.63,tavern-L0
3:sakura_fubuki,40.0,40.0,30.0,25.0,cookery-L1
3:oolong,50.0,50.0,40.0,31.25,cookery-L1
3:barley_tea,36.0,36.0,20.0,22.5,cookery-L1
3:tieguanyin,36.0,36.0,20.0,22.5,cookery-L1
3:flower_tea,36.0,36.0,20.0,22.5,cookery-L1
3:biluochun,40.0,40.0,30.0,25.0,cookery-L1
0:dragon_breath,30.0,80.0,15.0,50.0,update
3:buddha_jumps_over_the_wall,40.0,60.0,40.0,37.5,cookery-L3
3:brown_mushroom_pot_soup,38.0,38.0,30.0,23.75,cookery-L1
3:warped_fungus_pot_soup,38.0,38.0,30.0,23.75,cookery-L1
3:red_mushroom_pot_soup,38.0,38.0,30.0,23.75,cookery-L1
3:crimson_fungus_pot_soup,38.0,38.0,30.0,23.75,cookery-L1
3:kaleidoscope_cookery_cold_cut_ham_slices,50.0,50.0,40.0,31.25,cookery-L1
3:oil_splashed_fish,40.0,40.0,32.0,25.0,cookery-L1
3:cold_roasted_meat,42.0,42.0,35.0,26.25,cookery-L1
3:spicy_rabbit_head,36.0,36.0,30.0,22.5,cookery-L1
3:spicy_blood_stew,38.0,38.0,30.0,23.75,cookery-L1
3:braised_pork_ribs,31.22,31.22,22.31,19.51,cookery-L1
3:stuffed_tiger_skin_pepper,31.22,31.22,22.31,19.51,cookery-L1
3:numbing_spicy_chicken,34.55,34.55,24.55,21.59,cookery-L1
3:fruit_platter,6.0,6.0,6.0,3.75,cookery-L1
3:fried_caterpillar,40.0,40.0,30.0,25.0,cookery-L1
3:fried_spring_roll,33.5,33.5,23.5,20.94,cookery-L1
3:four_joy_meatball_soup,33.5,33.5,23.5,20.94,cookery-L1
3:dough_drop_soup,33.5,33.5,23.5,20.94,cookery-L1
3:candied_potato,33.5,33.5,23.5,20.94,cookery-L1
3:shengjian_mantou,33.5,33.5,23.5,20.94,cookery-L1
3:crystal_lamb_chop,33.66,33.66,23.66,21.04,cookery-L1
3:frost_lamb_chop,33.33,33.33,23.33,20.83,cookery-L1
3:blaze_lamb_chop,60.0,69.0,60.0,43.13,cookery-L3
3:desert_style_sashimi,31.66,31.66,21.66,19.79,cookery-L1
3:tundra_style_sashimi,31.66,31.66,21.66,19.79,cookery-L1
3:nether_style_sashimi,31.66,60.0,21.66,37.5,cookery-L3
3:cold_style_sashimi,31.66,31.66,21.66,19.79,cookery-L1
3:end_style_sashimi,31.66,60.0,21.66,37.5,cookery-L3
3:yakitori,32.0,32.0,22.0,20.0,cookery-L1
3:sweet_and_sour_ender_pearls,32.0,32.0,22.0,20.0,cookery-L1
3:stargazy_pie,32.0,32.0,22.0,20.0,cookery-L1
3:spicy_chicken,32.0,32.0,22.0,20.0,cookery-L1
3:pan_seared_knight_steak,35.0,35.0,25.0,21.88,cookery-L1
3:golden_salad,60.0,69.0,60.0,43.13,cookery-L3
3:fondant_pie,33.0,33.0,23.0,20.63,cookery-L1
3:fondant_spider_eye,33.0,33.0,23.0,20.63,cookery-L1
3:dongpo_pork,33.0,33.0,23.0,20.63,cookery-L1
3:chorus_fried_egg,33.0,33.0,23.0,20.63,cookery-L1
3:braised_fish,33.0,33.0,23.0,20.63,cookery-L1
3:slime_ball_meal,33.0,33.0,23.0,20.63,cookery-L1
3:suspicious_stir_fry,6.0,6.0,0.6,3.75,cookery-L1
3:dark_cuisine,6.0,6.0,0.6,3.75,cookery-L1
3:udon_noodle,38.0,45.0,28.0,28.13,cookery-L2
3:hui_noodle,38.0,45.0,28.0,28.13,cookery-L2
3:beef_noodle,38.0,45.0,28.0,28.13,cookery-L2
3:seafood_miso_soup,36.0,36.0,25.0,22.5,cookery-L1
3:pufferfish_soup,35.0,35.0,15.0,21.88,cookery-L1
3:pork_bone_soup,36.0,36.0,25.0,22.5,cookery-L1
3:braised_beef_with_potatoes,36.0,36.0,25.0,22.5,cookery-L1
3:lamb_and_radish_soup,36.0,36.0,25.0,22.5,cookery-L1
3:fearsome_thick_soup,35.0,35.0,22.0,21.88,cookery-L1
3:chicken_and_mushroom_stew,36.0,36.0,25.0,22.5,cookery-L1
3:borscht,36.0,36.0,25.0,22.5,cookery-L1
3:beef_meatball_soup,36.0,36.0,25.0,22.5,cookery-L1
3:tomato_beef_brisket_soup,36.0,36.0,25.0,22.5,cookery-L1
3:wild_mushroom_rabbit_soup,36.0,36.0,25.0,22.5,cookery-L1
3:sweet_and_sour_pork_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:stir_fried_pork_with_peppers_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:stir_fried_beef_offal_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:scramble_egg_with_tomatoes_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:fish_flavored_shredded_pork_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:braised_beef_rice_bowl,50.0,50.0,40.0,31.25,cookery-L2
3:sweet_and_sour_pork,25.0,25.0,20.0,15.63,cookery-L1
3:stir_fried_pork_with_peppers,25.0,25.0,20.0,15.63,cookery-L1
3:stir_fried_beef_offal,25.0,25.0,20.0,15.63,cookery-L1
3:scramble_egg_with_tomatoes,25.0,25.0,20.0,15.63,cookery-L1
3:fish_flavored_shredded_pork,25.0,25.0,20.0,15.63,cookery-L1
3:braised_beef,25.0,25.0,20.0,15.63,cookery-L1
3:fried_egg,6.0,6.0,3.0,3.75,cookery-L1
3:cooked_rice,12.0,12.0,8.0,7.5,cookery-L1
3:dumpling,20.0,20.0,15.0,12.5,cookery-L1
3:meat_pie,20.0,20.0,15.0,12.5,cookery-L1
3:samsa,20.0,20.0,15.0,12.5,cookery-L1
3:baozi,20.0,20.0,15.0,12.5,cookery-L1
3:mantou,15.0,15.0,12.0,9.38,cookery-L1
3:cooked_meatball,12.0,12.0,10.0,7.5,cookery-L1
3:cooked_pork_belly,10.0,10.0,6.0,6.25,cookery-L1
3:cooked_cut_small_meats,7.0,8.0,4.0,5.0,cookery-L1
3:cooked_cow_offal,8.0,8.0,5.0,5.0,cookery-L1
3:cooked_lamb_chops,8.0,8.0,5.0,5.0,cookery-L1
3:raw_meatball,5.0,6.0,3.0,3.75,cookery-L0
3:raw_cut_small_meats,5.0,6.0,3.0,3.75,cookery-L0
3:raw_pork_belly,5.0,6.0,3.0,3.75,cookery-L0
3:raw_cow_offal,5.0,6.0,3.0,3.75,cookery-L0
3:raw_lamb_chops,5.0,6.0,3.0,3.75,cookery-L0
3:sashimi,5.0,6.0,3.0,3.75,cookery-L0
3:caterpillar,6.6,6.0,6.6,3.75,cookery-L0
3:kaleidoscope_cookery_teapot,30.0,30.0,0.0,18.75,cookery-L1
3:kitchenware_racks,20.0,20.0,0.0,12.5,cookery-L1
3:fruit_basket,20.0,20.0,0.0,12.5,cookery-L1
3:kaleidoscope_cookery_trash_can,30.0,30.0,0.0,18.75,cookery-L1
3:oil,5.0,5.0,2.5,3.13,cookery-L0
3:enamel_basin,20.0,20.0,0.0,12.5,cookery-L1
3:kaleidoscope_cookery_chopping_board,20.0,20.0,0.0,12.5,cookery-L1
3:steamer_no_items,20.0,20.0,0.0,12.5,cookery-L1
3:kaleidoscope_cookery_millstone,30.0,30.0,0.0,18.75,cookery-L1
3:shawarma_spit,30.0,30.0,0.0,18.75,cookery-L1
3:stockpot_lid,30.0,30.0,0.0,18.75,cookery-L1
3:kaleidoscope_cookery_stockpot,30.0,30.0,0.0,18.75,cookery-L1
3:kaleidoscope_cookery_pot,30.0,30.0,0.0,18.75,cookery-L1
3:kaleidoscope_cookery_stove,30.0,30.0,0.0,18.75,cookery-L1
3:manual,1.0,1.0,0.1,0.63,cookery-L0
3:recipe_book,1.0,1.0,0.1,0.63,cookery-L0
3:green_chili,3.2,3.2,2.0,2.0,cookery-L1
3:tomato,3.2,4.0,2.0,2.5,cookery-L0
3:rice_panicle,3.2,4.0,2.0,2.5,cookery-L0
3:lettuce,3.2,4.0,2.0,2.5,cookery-L0
3:red_chili,3.2,4.0,2.0,2.5,cookery-L0
0:chorus_fruit,3.0,8.0,2.0,5.0,update
0:resin_clump,3.0,4.0,1.0,2.5,update
0:glow_ink_sac,3.0,8.0,2.0,5.0,update
0:cocoa_beans,3.0,3.0,2.0,1.88,update
0:lapis_lazuli,10.0,28.0,5.0,17.5,update
0:elytra,13140.0,13140.0,5200.0,8212.5,update
0:totem_of_undying,300.0,1800.0,200.0,1125.0,update
0:axolotl_bucket,300.0,300.0,0.0,187.5,update
0:water_bucket,40.0,8.0,0.0,5.0,update
0:lava_bucket,50.0,20.0,0.0,12.5,update
0:milk_bucket,40.0,10.0,0.0,6.25,update
0:glowstone_dust,3.0,6.0,1.3,3.75,update
0:netherite_scrap,2000.0,1080.0,600.0,675.0,update
0:white_wool,3.0,4.0,2.0,2.5,update
0:ghast_tear,30.0,100.0,15.0,62.5,update
0:nether_star,6666.0,8000.0,2000.0,5000.0,update
0:ender_pearl,30.0,48.0,15.0,30.0,update
0:slime_ball,30.0,8.0,15.0,5.0,update
0:shulker_shell,300.0,600.0,100.0,375.0,update
0:amethyst_shard,3.0,8.0,1.5,5.0,update
0:prismarine_crystals,3.0,10.0,1.5,6.25,update
0:nautilus_shell,3.0,40.0,1.5,25.0,update
0:heart_of_the_sea,1200.0,1200.0,500.0,750.0,update
0:phantom_membrane,5.0,40.0,3.0,25.0,update
0:string,3.0,3.0,1.5,1.88,update
0:magma_cream,3.0,20.0,1.5,12.5,update
0:blaze_rod,50.0,80.0,20.0,50.0,update
0:rabbit_foot,3.0,20.0,1.5,12.5,update
0:rabbit_hide,3.0,3.0,1.5,1.88,update
0:leather,3.0,6.0,1.5,3.75,update
0:gunpowder,3.0,6.0,1.5,3.75,update
0:flint,3.0,2.0,1.5,1.25,update
0:feather,3.0,2.0,1.5,1.25,update
0:prismarine_shard,3.0,6.0,1.5,3.75,update
0:clay_ball,3.0,2.0,1.5,1.25,update
0:quartz,3.0,10.0,1.5,6.25,update
0:diamond,200.0,200.0,180.0,125.0,update
0:emerald,50.0,120.0,25.0,75.0,update
0:gold_ingot,25.0,72.0,20.0,45.0,update
0:iron_ingot,12.0,36.0,6.0,22.5,update
0:copper_ingot,3.0,12.0,2.0,7.5,update
0:charcoal,3.0,6.0,2.0,3.75,update
0:coal,3.0,8.0,2.0,5.0,update
0:closed_eyeblossom,3.0,2.0,1.0,1.25,update
0:dandelion,3.0,2.0,1.0,1.25,update
0:poppy,3.0,2.0,1.0,1.25,update
0:allium,3.0,2.0,1.0,1.25,update
0:azure_bluet,3.0,2.0,1.0,1.25,update
0:white_tulip,3.0,2.0,1.0,1.25,update
0:pink_tulip,3.0,2.0,1.0,1.25,update
0:oxeye_daisy,3.0,2.0,1.0,1.25,update
0:lily_of_the_valley,3.0,2.0,1.0,1.25,update
0:rose_bush,3.0,2.0,1.0,1.25,update
0:pitcher_plant,3.0,2.0,1.0,1.25,update
0:wildflowers,3.0,2.0,1.0,1.25,update
0:torchflower,3.0,2.0,1.0,1.25,update
0:open_eyeblossom,3.0,2.0,1.0,1.25,update
0:blue_orchid,3.0,2.0,1.0,1.25,update
0:red_tulip,3.0,2.0,1.0,1.25,update
0:orange_tulip,3.0,2.0,1.0,1.25,update
0:cornflower,3.0,2.0,1.0,1.25,update
0:sunflower,3.0,2.0,1.0,1.25,update
0:lilac,3.0,2.0,1.0,1.25,update
0:peony,3.0,2.0,1.0,1.25,update
0:pink_petals,3.0,2.0,1.0,1.25,update
0:cactus_flower,3.0,2.0,1.0,1.25,update
0:pink_dye,3.0,2.0,1.0,1.25,update
0:purple_dye,3.0,2.0,1.0,1.25,update
0:orange_dye,3.0,2.0,1.0,1.25,update
0:white_dye,3.0,2.0,1.0,1.25,update
0:magenta_dye,3.0,2.0,1.0,1.25,update
0:blue_dye,3.0,2.0,1.0,1.25,update
0:light_blue_dye,3.0,2.0,1.0,1.25,update
0:cyan_dye,3.0,2.0,1.0,1.25,update
0:green_dye,3.0,2.0,1.0,1.25,update
0:lime_dye,3.0,2.0,1.0,1.25,update
0:yellow_dye,3.0,2.0,1.0,1.25,update
0:red_dye,3.0,2.0,1.0,1.25,update
0:brown_dye,3.0,2.0,1.0,1.25,update
0:black_dye,3.0,2.0,1.0,1.25,update
0:gray_dye,3.0,2.0,1.0,1.25,update
0:light_gray_dye,3.0,2.0,1.0,1.25,update
0:pufferfish,3.0,6.0,1.5,3.75,update
0:tropical_fish,3.0,3.0,1.5,1.88,update
0:salmon,3.0,3.5,2.0,2.19,update
0:cod,3.0,3.0,2.0,1.88,update
0:rabbit,3.6,4.0,3.0,2.5,update
0:porkchop,3.2,4.0,2.2,2.5,update
0:mutton,3.0,4.0,2.0,2.5,update
0:beef,3.2,4.0,2.3,2.5,update
0:chicken,3.0,3.5,1.9,2.19,update
0:pumpkin,3.0,4.0,2.3,2.5,update
0:glow_berries,3.0,3.0,2.0,1.88,update
0:sweet_berries,2.5,2.0,1.6,1.25,update
0:melon_slice,2.5,2.0,1.6,1.25,update
0:apple,3.2,4.0,2.3,2.5,update
0:carrot,3.0,3.0,2.0,1.88,update
0:potato,3.0,3.0,1.8,1.88,update
0:beetroot,3.0,3.0,1.8,1.88,update
0:wheat,3.0,3.0,2.0,1.88,update
3:tomato_seed,1.0,1.0,0.4,0.63,cookery-L0
3:lettuce_seed,1.0,1.0,0.4,0.63,cookery-L0
3:wild_rice_seed,1.0,1.0,0.4,0.63,cookery-L0
3:chili_seed,1.0,1.0,0.4,0.63,cookery-L0
0:beetroot_seeds,1.0,1.0,0.4,0.63,update
0:melon_seeds,1.0,1.0,0.4,0.63,update
0:pumpkin_seeds,1.0,1.0,0.4,0.63,update
0:wheat_seeds,1.0,1.0,0.4,0.63,update
0:kelp,0.5,0.5,0.25,0.31,update
0:honeycomb,2.0,8.0,1.0,5.0,update
0:rotten_flesh,0.5,0.5,0.25,0.31,update
0:bamboo,2.0,1.0,1.0,0.63,update
0:ink_sac,2.0,3.0,1.0,1.88,update
0:egg,2.0,2.0,1.0,1.25,update
0:sugar_cane,2.5,2.0,1.25,1.25,update
0:spider_eye,2.0,4.0,1.0,2.5,update
0:bone,3.0,2.0,1.5,1.25,update
0:cherry_log,1.0,2.5,0.5,1.56,update
0:mangrove_log,1.0,2.0,0.5,1.25,update
0:dark_oak_log,1.0,2.0,0.5,1.25,update
0:acacia_log,1.0,2.0,0.5,1.25,update
0:jungle_log,1.0,2.0,0.5,1.25,update
0:birch_log,1.0,2.0,0.5,1.25,update
0:spruce_log,1.0,2.0,0.5,1.25,update
0:oak_log,1.0,2.0,0.5,1.25,update
0:cobblestone,0.1,0.1,0.05,0.06,update
4:command_item,1.0,1.0,0.0,0.63,update
4:command_item,10.0,10.0,0.0,6.25,update
0:gravel,,1.0,,0.63,add-vanilla
0:ancient_debris,,900.0,,562.5,add-vanilla
0:netherite_ingot,,4500.0,,2812.5,add-vanilla
0:echo_shard,,80.0,,50.0,add-vanilla
0:bread,,6.0,,3.75,add-vanilla
0:cooked_beef,,6.0,,3.75,add-vanilla
0:cooked_porkchop,,6.0,,3.75,add-vanilla
0:cooked_mutton,,6.0,,3.75,add-vanilla
0:cooked_chicken,,5.0,,3.13,add-vanilla
0:armadillo_spawn_egg,,200.0,,0.0,add-egg-200
0:bee_spawn_egg,,200.0,,0.0,add-egg-200
0:camel_spawn_egg,,200.0,,0.0,add-egg-200
0:cat_spawn_egg,,200.0,,0.0,add-egg-200
0:chicken_spawn_egg,,200.0,,0.0,add-egg-200
0:cow_spawn_egg,,200.0,,0.0,add-egg-200
0:donkey_spawn_egg,,200.0,,0.0,add-egg-200
0:fox_spawn_egg,,200.0,,0.0,add-egg-200
0:goat_spawn_egg,,200.0,,0.0,add-egg-200
0:horse_spawn_egg,,200.0,,0.0,add-egg-200
0:llama_spawn_egg,,200.0,,0.0,add-egg-200
0:mooshroom_spawn_egg,,200.0,,0.0,add-egg-200
0:mule_spawn_egg,,200.0,,0.0,add-egg-200
0:ocelot_spawn_egg,,200.0,,0.0,add-egg-200
0:parrot_spawn_egg,,200.0,,0.0,add-egg-200
0:pig_spawn_egg,,200.0,,0.0,add-egg-200
0:rabbit_spawn_egg,,200.0,,0.0,add-egg-200
0:sheep_spawn_egg,,200.0,,0.0,add-egg-200
0:sniffer_spawn_egg,,200.0,,0.0,add-egg-200
0:wolf_spawn_egg,,200.0,,0.0,add-egg-200
0:allay_spawn_egg,,600.0,,0.0,add-egg-600
0:axolotl_spawn_egg,,600.0,,0.0,add-egg-600
0:dolphin_spawn_egg,,600.0,,0.0,add-egg-600
0:frog_spawn_egg,,600.0,,0.0,add-egg-600
0:iron_golem_spawn_egg,,600.0,,0.0,add-egg-600
0:panda_spawn_egg,,600.0,,0.0,add-egg-600
0:polar_bear_spawn_egg,,600.0,,0.0,add-egg-600
0:snow_golem_spawn_egg,,600.0,,0.0,add-egg-600
0:tadpole_spawn_egg,,600.0,,0.0,add-egg-600
0:turtle_spawn_egg,,600.0,,0.0,add-egg-600
0:villager_spawn_egg,,600.0,,0.0,add-egg-600
0:wandering_trader_spawn_egg,,600.0,,0.0,add-egg-600
0:bogged_spawn_egg,,1500.0,,0.0,add-egg-1500
0:breeze_spawn_egg,,1500.0,,0.0,add-egg-1500
0:cave_spider_spawn_egg,,1500.0,,0.0,add-egg-1500
0:creeper_spawn_egg,,1500.0,,0.0,add-egg-1500
0:drowned_spawn_egg,,1500.0,,0.0,add-egg-1500
0:endermite_spawn_egg,,1500.0,,0.0,add-egg-1500
0:husk_spawn_egg,,1500.0,,0.0,add-egg-1500
0:phantom_spawn_egg,,1500.0,,0.0,add-egg-1500
0:silverfish_spawn_egg,,1500.0,,0.0,add-egg-1500
0:skeleton_spawn_egg,,1500.0,,0.0,add-egg-1500
0:slime_spawn_egg,,1500.0,,0.0,add-egg-1500
0:spider_spawn_egg,,1500.0,,0.0,add-egg-1500
0:stray_spawn_egg,,1500.0,,0.0,add-egg-1500
0:witch_spawn_egg,,1500.0,,0.0,add-egg-1500
0:zombie_spawn_egg,,1500.0,,0.0,add-egg-1500
0:blaze_spawn_egg,,4000.0,,0.0,add-egg-4000
0:elder_guardian_spawn_egg,,4000.0,,0.0,add-egg-4000
0:ghast_spawn_egg,,4000.0,,0.0,add-egg-4000
0:guardian_spawn_egg,,4000.0,,0.0,add-egg-4000
